class_id,class_name,price,
0,길림양행마늘빵아몬드210G,9900,test1
1,길림양행카라멜아몬드앤프레첼210G,7450,test2
2,길림양행허니버터땅콩190G,3800,test3
3,농심켈로그)프링글스사워크림앤어니언100G,1630,test4
4,농심포스틱84G,1360,test5
5,농심프링글스핫앤스파이시53G,1040,test6
6,도리토스갈비천왕치킨맛172G,2230,test7
7,동서)오레오솔티드카라멜100G,2350,test8
8,동서)오레오씬즈라즈베리무스84G,1720,test9
9,동서딸기크림오레오샌드위치쿠키300G,3500,test10
10,동서오레오딸기크림100G,1200,test11
11,동서오레오초콜릿크림,1680,test12
12,롯데)꼬깔콘매콤달콤72G,1250,test13
13,롯데)밀크카라멜50G,560,test14
14,롯데)빠다코코낫100G,1500,test15
15,롯데)아몬드빼빼로37G,1680,test16
16,롯데)졸음번쩍껌87G,3250,test17
17,롯데빈츠204G,4780,test18
18,롯데빠다코코낫,2690,test19
19,롯데상큼달콤롯데샌드화이트크림깜뜨105G,1500,test20
20,롯데제과허쉬카카오파이12봉,3900,test21
21,롯데쥬시후레쉬26G,730,test22
22,롯데칙촉2번들(1682입),5790,test23
23,롯데칙촉90G,5180,test24
24,매일페레로로쉐T3_35G,2600,test25
25,빙그레꽃게랑오리지널맛70G,1450,test26
26,서주제과)서주허쉬초코웨하스,3100,test27
27,오)포카칩어니언맛110g,3050,test28
28,오레오레드벨벳샌드위치쿠키94G,1190,test29
29,오리온)고소미35G,1000,test30
30,오리온)예감32G,1700,test31
31,오리온)예감볶은양파맛32G,1700,test32
32,오리온)예감오리지날2P64G,1700,test33
33,오리온)예감치즈그라탕맛32G,1700,test34
34,오리온)오리온후라보노,720,test35
35,오리온)왕꿈틀이67G,800,test36
36,오리온)초코칩쿠키90G,980,test37
37,오리온)포카칩양파66G,1360,test38
38,오리온다이제,1270,test39
39,오리온다이제미니240G,3110,test40
40,오리온다이제초코,1170,test41
41,오리온다이제초코225G,2970,test42
42,오리온마이구미1P66G,670,test43
43,오리온썬핫스파이시맛80G,2280,test44
44,오리온스윙칩볶음고추장60G,1110,test45
45,오리온오감자양념바베큐맛50G,1550,test46
46,오리온초코파송이2개가한묶음,2645,test47
47,오리온카스타드,7570,test48
48,이마트)프링글스오리지널,3330,test49
49,크라운)꽃게랑불짬뽕맛70G,1130,test50
50,크라운)꽃게랑와사비70G,1450,test51
51,크라운)새콤달콤복숭아29G,290,test52
52,크라운국희땅콩샌드372G,2350,test53
53,크라운딸기파이,2950,test54
54,크라운마이쮸복숭아(용기)110G,2990,test55
55,크라운마이쮸사과(용기)110G,2780,test56
56,크라운버터와플,6225,test57
57,크라운쵸코하임284G,3300,test58
58,크라운초코하임47G,970,test59
59,크라운화이트하임284G,2590,test60
60,페레로)페레로로쉐100G,6360,test61
61,포카칩오리지널110G,1890,test62
62,프링글스양파맛53G,1670,test63
63,한국마즈)이클립스스트로베리향,2440,test64
64,한국마즈)이클립스스피어민트향,1700,test65
65,한국마즈)이클립스페퍼민트향,1800,test66
66,한국마즈)이클립스피치향,1600,test67
67,해태)구운고구마27G,950,test68
68,해태)딸기웨하스Original50G,800,test69
69,허니버터아몬드130G,3390,test70
70,광동)옥수수수염차500ML,2200,test71
71,농심)백산수,1000,test72
72,델몬트토마토1.5L,5460,test73
73,동원다방커피오리지널,1200,test74
74,동원다방커피카라멜,1280,test75
75,동원샘물0.5L,450,test76
76,동원커핑로카페봉봉,1500,test77
77,동원콩카페연유라떼,2000,test78
78,롯데)칠성사이다청귤,1700,test79
79,롯데)칸타타스위트아메리카노275ML,2380,test80
80,롯데)칸타타프리미엄카페라떼200ML,1030,test81
81,롯데)코코리치포도340ML,1260,test82
82,롯데델몬트오렌지드링크190ML,260,test83
83,롯데델몬트파인애플드링크190ML,450,test84
84,롯데델몬트포도100_1.5L,2750,test85
85,롯데마운틴듀330ML,1000,test86
86,롯데마운틴듀355ML,1700,test87
87,롯데아이시스8.01L,1950,test88
88,롯데옥수수수염차500ML,1000,test89
89,롯데제주사랑감귤500ML,3060,test90
90,롯데칠성사이다190ML,300,test91
91,롯데칠성사이다245ML,420,test92
92,롯데칠성사이다로어슈거500ML,1270,test93
93,롯데칠성음료)에비앙천연광천수,1150,test94
94,롯데칸타타스위트아메리카노175ML,620,test95
95,롯데칸타타아이스헤이즐넛향230ML,590,test96
96,롯데칸타타카라멜마키아또230ML,1440,test97
97,롯데콘트라베이스티로스팅그린티500ML,980,test98
98,롯데콘트라베이스티로스팅보리500ML,980,test99
99,롯데트로피카나스파클링복숭아355ML,760,test100
100,롯데펩시콜라600ML,1530,test101
101,매일바리스타룰스로어슈거에스포레소라떼,1440,test102
102,몬스터에너지그린355ML,1980,test103
103,몬스터에너지울트라355ML,1980,test104
104,미닛메이드오리지널오렌지1.5L,5020,test105
105,아쿠아리어스)골드메달애플주스,2590,test106
106,웅진초록매실180ML,315,test107
