epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,514.108,0.53438,7.09564,1.06852,0.68272,0.73447,0.78613,0.72868,0.35756,4.04161,0.92827,0.00998938,0.00332979,0.00998938,0.00332979,0.00998938,0.00332979,0.00998938,0.00332979
2,930.988,0.52221,3.48983,1.02329,0.67712,0.67518,0.73877,0.65916,0.43514,4.18543,0.98892,0.0195936,0.0065312,0.0195936,0.0065312,0.0195936,0.0065312,0.0195936,0.0065312
3,1321.62,0.62993,3.93041,1.07468,0.61872,0.64481,0.68538,0.55355,0.62494,4.65544,1.15812,0.0288018,0.0096006,0.0288018,0.0096006,0.0288018,0.0096006,0.0288018,0.0096006
4,1702.66,0.67325,3.82404,1.09063,0.72197,0.7717,0.8283,0.71721,0.4937,3.22482,1.01518,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2084.5,0.61532,3.06216,1.05473,0.78579,0.82321,0.87084,0.77734,0.45671,2.59591,1.00241,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2465.68,0.58087,2.65083,1.03647,0.81128,0.86872,0.89326,0.81842,0.39848,2.14627,0.93759,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2845.68,0.55175,2.33241,1.02014,0.83027,0.88363,0.9078,0.8383,0.37477,1.98426,0.92897,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3229.83,0.52252,2.15692,1.00578,0.89345,0.87398,0.9308,0.86711,0.36051,1.79403,0.91827,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3610.02,0.50279,1.97285,0.99833,0.8356,0.86038,0.92283,0.84734,0.40455,2.02106,0.95481,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3989.53,0.48721,1.83975,0.98939,0.90473,0.91247,0.95458,0.9105,0.30574,1.54862,0.87483,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,4368.03,0.47056,1.72917,0.98176,0.91095,0.91185,0.96287,0.92032,0.30031,1.39707,0.87199,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4747.18,0.46348,1.65057,0.97913,0.90904,0.92524,0.96203,0.92453,0.28995,1.37931,0.86618,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,5127.92,0.44463,1.54671,0.96981,0.94269,0.91197,0.9642,0.93037,0.27495,1.29551,0.85958,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,5505.68,0.43879,1.47531,0.96719,0.95341,0.91903,0.9569,0.9187,0.28072,1.26116,0.86149,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
