epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,500.996,0.57232,3.73377,1.08728,0.40624,0.57746,0.5118,0.47532,0.36128,2.73769,0.91668,0.00998938,0.00332979,0.00998938,0.00332979,0.00998938,0.00332979,0.00998938,0.00332979
2,898.54,0.57585,1.9252,1.04323,0.48919,0.48236,0.48294,0.41107,0.60973,3.01653,1.17445,0.0197255,0.00657517,0.0197255,0.00657517,0.0197255,0.00657517,0.0197255,0.00657517
3,1264.58,0.64189,1.7274,1.07166,0.51437,0.56151,0.59078,0.49409,0.6043,2.38827,1.11053,0.0291977,0.00973255,0.0291977,0.00973255,0.0291977,0.00973255,0.0291977,0.00973255
4,1624.35,0.64731,1.46198,1.07146,0.65433,0.66374,0.74408,0.65823,0.45508,1.50513,0.99302,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
5,1983.56,0.58696,1.15357,1.03949,0.72235,0.83667,0.84425,0.76955,0.38551,0.94011,0.94221,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
6,2345.95,0.55072,0.96844,1.02179,0.82387,0.83131,0.88123,0.81252,0.37298,0.79551,0.93015,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
7,2705.76,0.51799,0.84777,1.00338,0.81625,0.88014,0.90409,0.84763,0.32647,0.68392,0.89638,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
8,3061.01,0.49396,0.79169,0.99178,0.85074,0.88998,0.93518,0.88529,0.30793,0.61122,0.8748,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
9,3419.43,0.47531,0.72132,0.98565,0.86381,0.89169,0.92957,0.88916,0.28874,0.58357,0.8668,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
10,3777.14,0.46291,0.67171,0.97878,0.91838,0.88392,0.94999,0.90766,0.27733,0.52465,0.85553,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
11,4132.67,0.45006,0.646,0.97212,0.9077,0.91482,0.95654,0.91849,0.26694,0.47878,0.85159,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
12,4491.53,0.44055,0.61312,0.96733,0.93642,0.899,0.95822,0.92545,0.25812,0.46282,0.84557,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
13,4848.41,0.42575,0.57568,0.96126,0.94027,0.91117,0.95602,0.91832,0.27458,0.44882,0.86254,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
14,5203.6,0.42422,0.56149,0.9599,0.94515,0.90915,0.96291,0.93512,0.24276,0.42339,0.83466,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
15,5565.03,0.41753,0.53031,0.95639,0.95023,0.91417,0.96367,0.93494,0.23945,0.39845,0.83461,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
16,5924.77,0.41146,0.52522,0.95503,0.95792,0.91805,0.96741,0.94026,0.23367,0.38753,0.82947,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
17,6279.91,0.40486,0.5127,0.95115,0.95097,0.91994,0.96151,0.93343,0.23698,0.39281,0.83226,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
18,6631.81,0.39853,0.4962,0.95013,0.95778,0.91934,0.96761,0.94415,0.22027,0.3719,0.82373,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
19,6992.12,0.39617,0.48558,0.95129,0.95929,0.91976,0.9658,0.94153,0.22092,0.37207,0.82669,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
20,7350.34,0.38872,0.47057,0.94425,0.95436,0.92029,0.96367,0.94095,0.21763,0.36951,0.82182,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
21,7704.84,0.38373,0.46922,0.94196,0.95951,0.92677,0.96682,0.94521,0.21499,0.34043,0.82174,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
22,8058.5,0.38004,0.45883,0.94094,0.96242,0.92898,0.97265,0.95297,0.2042,0.31738,0.81442,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
23,8412.07,0.37604,0.44,0.94041,0.95761,0.92991,0.96983,0.95082,0.20324,0.32902,0.8134,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
