epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,549.433,0.87201,3.64599,1.39726,0.76323,0.78733,0.82544,0.59452,1.20138,7.75471,1.61197,0.00499415,0.00499415,0.00511111
2,1084.35,0.8484,3.88269,1.28647,0.97859,0.97709,0.9883,0.75874,0.95072,2.76306,1.43353,0.00494592,0.00494592,0.00494592
3,1621.72,0.81809,3.71798,1.26828,0.88603,0.88862,0.92276,0.64439,1.06581,4.38648,1.58708,0.00478603,0.00478603,0.00478603
4,2157.01,0.79479,3.51726,1.25099,0.62724,0.51004,0.5616,0.32346,1.79655,14.3806,2.52657,0.00452732,0.00452732,0.00452732
5,2692.42,0.78332,3.39852,1.23472,0.86402,0.83299,0.89898,0.65095,1.04252,4.80502,1.63565,0.0041811,0.0041811,0.0041811
6,3222.59,0.6885,2.57958,1.27488,0.973,0.9829,0.98807,0.79956,0.80254,2.36043,1.31876,0.0037625,0.0037625,0.0037625
7,3752.25,0.67594,2.49795,1.25999,0.96729,0.9629,0.9867,0.78041,0.82558,2.49736,1.47772,0.00328982,0.00328982,0.00328982
8,4283.51,0.6374,2.30014,1.2129,0.98284,0.97368,0.9901,0.8278,0.7122,2.13706,1.27795,0.00278371,0.00278371,0.00278371
9,4814.18,0.62408,2.20711,1.19956,0.9841,0.98174,0.99035,0.83319,0.72511,2.0496,1.2477,0.00226629,0.00226629,0.00226629
10,5342.89,0.60661,2.09898,1.18023,0.98463,0.98877,0.99107,0.83367,0.71177,2.07607,1.22572,0.00176018,0.00176018,0.00176018
11,5870.05,0.58015,1.98951,1.15738,0.9818,0.98837,0.99138,0.84198,0.68523,1.92054,1.20799,0.0012875,0.0012875,0.0012875
12,6399.33,0.56482,1.88594,1.13858,0.98333,0.98283,0.9903,0.84286,0.6657,1.86968,1.19077,0.000868902,0.000868902,0.000868902
13,6929.7,0.55392,1.80116,1.12735,0.98424,0.98592,0.99089,0.84452,0.67457,1.78755,1.1757,0.000522683,0.000522683,0.000522683
14,7458.06,0.54054,1.74805,1.12068,0.98618,0.98446,0.99098,0.84901,0.66965,1.74983,1.15698,0.000263975,0.000263975,0.000263975
15,7985.88,0.53738,1.73092,1.1162,0.98681,0.98379,0.99029,0.84419,0.67372,1.77018,1.15531,0.000104085,0.000104085,0.000104085
