epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,354.715,0.80057,1.39714,1.17768,0.90125,0.93294,0.96934,0.75581,0.81837,0.6703,1.14088,0.00997664,0.00332555,0.00997664,0.00332555,0.00997664,0.00332555,0.00997664,0.00332555
2,660.461,0.83062,0.83488,1.17418,0.92527,0.9255,0.97097,0.77916,0.74527,0.69102,1.09617,0.0198778,0.00662592,0.0198778,0.00662592,0.0198778,0.00662592,0.0198778,0.00662592
3,951.971,0.93706,0.95501,1.25291,0.68556,0.83276,0.84537,0.60412,0.92069,1.34172,1.35752,0.0296799,0.00989329,0.0296799,0.00989329,0.0296799,0.00989329,0.0296799,0.00989329
4,1236,0.95146,0.96459,1.26536,0.89268,0.89032,0.94465,0.79021,0.62701,0.7389,1.08483,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1522.73,0.8912,0.84248,1.22643,0.94868,0.94085,0.96821,0.84348,0.49508,0.45729,0.97591,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1808.96,0.82234,0.75069,1.18119,0.87293,0.89931,0.94899,0.80648,0.57185,0.68074,1.07759,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2092.2,0.78541,0.69313,1.15683,0.95804,0.96013,0.98609,0.87445,0.44969,0.37854,0.94074,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2377.25,0.75871,0.64023,1.13784,0.92766,0.90868,0.9744,0.87926,0.44291,0.44396,0.93199,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,2661.94,0.72904,0.60353,1.12409,0.95114,0.95509,0.98151,0.87164,0.44254,0.38628,0.97152,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,2945.04,0.70935,0.58817,1.10797,0.95675,0.95423,0.98067,0.90011,0.38724,0.32436,0.90809,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,3230.23,0.68944,0.55275,1.09705,0.96223,0.96729,0.9859,0.92147,0.362,0.32046,0.8922,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,3515.35,0.67222,0.54005,1.08547,0.97495,0.97791,0.98915,0.93398,0.32879,0.27442,0.87,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
